2756,"Abbott, Berenice",Female,1898–1991,1898,1991,"Springfield, United States","Monson, United States",3,"",0
1,"Abbott, Lemuel Francis",Male,1760–1803,1760,1803,"Leicestershire, United Kingdom","London, United Kingdom",2,http://www.tate.org.uk/art/images/work/N/N01/N01198_8.jpg,2
622,"Abrahams, Ivor",Male,born 1935,1935,"","Wigan, United Kingdom","",108,http://www.tate.org.uk/art/images/work/P/P03/P03149_8.jpg,107
2606,Absalon,Male,1964–1993,1964,1993,"Tel Aviv-Yafo, Yisra'el","Paris, France",6,"",1
623,"Acconci, Vito",Male,born 1940,1940,"","New York, United States","",6,http://www.tate.org.uk/art/images/work/P/P07/P07639_8.jpg,2
624,"Ackling, Roger",Male,1947–2014,1947,2014,"Isleworth, United Kingdom","",1,http://www.tate.org.uk/art/images/work/T/T03/T03562_8.jpg,1
2411,"Adam, Robert",Male,1728–1792,1728,1792,"Kirkcaldy, United Kingdom","London, United Kingdom",3,http://www.tate.org.uk/art/images/work/T/T08/T08192_8.jpg,3
627,"Adams, Norman",Male,1927–2005,1927,2005,"London, United Kingdom","",3,http://www.tate.org.uk/art/images/work/T/T00/T00923_8.jpg,3
628,"Adams, Robert",Male,1917–1984,1917,1984,"Northampton, United Kingdom","",17,http://www.tate.org.uk/art/images/work/P/P03/P03096_8.jpg,16
629,"Adeney, Bernard",Male,1878–1966,1878,1966,"London, United Kingdom","",1,"",0
2608,"Adshead, Mary",Female,1904–1995,1904,1995,"London, United Kingdom","Hampstead, United Kingdom",2,http://www.tate.org.uk/art/images/work/T/T07/T07228_8.jpg,2
631,"Adzak, Roy",Male,1927–1987,1927,1987,"Reading, United Kingdom","Paris, France",1,"",0
632,Afro,Male,1912–1976,1912,1976,"Udine, Italia","Zürich, Schweiz",1,"",0
2,"Agasse, Jacques Laurent",Male,1767–1849,1767,1849,"Genève, Schweiz","London, United Kingdom",2,http://www.tate.org.uk/art/images/work/T/T02/T02350_8.jpg,2
3098,"Ahtila, Eija-Liisa",Female,born 1959,1959,"","Hämeenlinna, Suomi","",1,"",0
8208,"Ai, Weiwei",Male,born 1957,1957,"","Beijing, Zhonghua","",2,http://www.tate.org.uk/art/images/work/T/T12/T12809_8.jpg,2
635,"Ajmone, Giuseppe",Male,1923–2005,1923,2005,"Carpignano Sesia, Italia","",1,"",0
14744,"Aksel, Erdag",Male,born 1953,1953,"","Izmir, Türkiye","",1,"",0
7794,"Al-Ani, Jananne",Female,born 1966,1966,"","Kirkuk, Al-‘Iraq","",1,"",0
3067,"Albers, Anni",Female,1899–1994,1899,1994,"Berlin, Deutschland","Orange, United States",0,"",0
636,"Albers, Josef",Male,1888–1976,1888,1976,"Bottrop, Deutschland","New Haven, United States",22,http://www.tate.org.uk/art/images/work/P/P01/P01786_8.jpg,13
637,"Albright, Ivan",Male,1897–1983,1897,1983,"Chicago, United States","Woodstock, United States",1,"",0
638,"Aldridge, John",Male,1905–1983,1905,1983,"Greenwich, United Kingdom","",2,"",1
640,"Alexander, Edwin",Male,1870–1926,1870,1926,"Edinburgh, United Kingdom","Musselburgh, United Kingdom",1,"",0
2470,"Alexander, William",Male,1767–1816,1767,1816,"Maidstone, United Kingdom","Maidstone, United Kingdom",4,http://www.tate.org.uk/art/images/work/T/T05/T05314_8.jpg,4
11315,"Alimpiev, Victor",Male,born 1973,1973,"","Moskva, Rossiya","",1,"",0
2472,Alken Family,Male,1756 –1894,1756,1894,"","",6,http://www.tate.org.uk/art/images/work/T/T09/T09616_8.jpg,6
2471,"Alken, Samuel, Senior",Male,1756–1815,1756,1815,"London, United Kingdom","London, United Kingdom",3,http://www.tate.org.uk/art/images/work/T/T09/T09606_8.jpg,3
641,"Allan, Julian Phelps",Female,1892–1996,1892,1996,"Southampton, United Kingdom","",1,"",0
4,"Allan, Sir William",Male,1782–1850,1782,1850,"Edinburgh, United Kingdom","Edinburgh, United Kingdom",1,http://www.tate.org.uk/art/images/work/N/N00/N00373_8.jpg,1
2304,"Allen, George Warner",Male,1916–1988,1916,1988,"Paris, France","Wallingford, United Kingdom",2,http://www.tate.org.uk/art/images/work/T/T06/T06604_8.jpg,2
12153,"Allen, Phillip",Male,born 1967,1967,"","London, United Kingdom","",1,http://www.tate.org.uk/art/images/work/T/T12/T12824_8.jpg,1
12520,"Allen, Richard",Male,1933–1999,1933,1999,"Worcestershire, United Kingdom","",1,"",0
642,"Alley, Anthea",Female,1927–1993,1927,1993,"Seremban, Malaysia","",1,http://www.tate.org.uk/art/images/work/T/T00/T00655_8.jpg,1
644,"Allinson, Adrian",Male,1890–1959,1890,1959,"London, United Kingdom","",1,"",0
2273,"Allom, Thomas",Male,1804–1872,1804,1872,"London, United Kingdom","Barnes, United Kingdom",1,http://www.tate.org.uk/art/images/work/T/T06/T06384_8.jpg,1
6259,"Allora, Jennifer",Female,born 1974,1974,"","Philadelphia, United States","",2,http://www.tate.org.uk/art/images/work/T/T12/T12962_8.jpg,1
12989,"Almeida, Helena",Female,born 1934,1934,"","Lisboa, Portugal","",39,"",35
2657,"Almond, Darren",Male,born 1971,1971,"","Wigan, United Kingdom","",1,http://www.tate.org.uk/art/images/work/P/P78/P78078_8.jpg,1
7620,"Althamer, Pawel",Male,born 1967,1967,"","Warszawa, Polska","",5,http://www.tate.org.uk/art/images/work/T/T11/T11913_8.jpg,3
645,"Altoon, John",Male,1925–1969,1925,1969,"Los Angeles, United States",Los Angeles,1,"",0
4427,"Alÿs, Francis",Male,born 1959,1959,"","Antwerpen, België","",13,"",5
646,"Amiet, Cuno",Male,1868–1961,1868,1961,Solothurn,Schweiz,2,http://www.tate.org.uk/art/images/work/T/T00/T00393_8.jpg,2
7533,"Amorales, Carlos",Male,born 1970,1970,"","Ciudad de México, México","",1,"",0
647,"Amuchastegui, Axel",Male,1921–2002,1921,2002,"Córdoba, España","",1,"",0
14647,"Amzalag, Michael",Male,born 1967,1967,"","Paris, France","",0,"",0
8,"Anderton, Henry",Male,c.1630–1665,1630,1665,"","",1,http://www.tate.org.uk/art/images/work/T/T03/T03543_8.jpg,1
8961,"Andrade Tudela, Armando",Male,born 1975,1975,"","Lima, Perú","",2,http://www.tate.org.uk/art/images/work/T/T12/T12136_8.jpg,2
15587,"Andrade, Jonathas de",Male,born 1982,1982,"","Maceió, Brasil","",1,"",0
2704,"Andreenko, Michel",Male,1894 –1982,1894,1982,"Odessa, Ukrayina","Paris, France",1,"",0
9,"Angellis, Peter",Male,1685–1734,1685,1734,"Dunkerque, France","Rennes, France",1,http://www.tate.org.uk/art/images/work/T/T00/T00789_8.jpg,1
650,"Annesley, David",Male,born 1936,1936,"","London, United Kingdom","",13,http://www.tate.org.uk/art/images/work/P/P04/P04008_8.jpg,13
652,"Anrep, Boris",Male,1883–1969,1883,1969,"Sankt-Peterburg, Rossiya","",2,"",1
13677,"Ansarinia, Nazgol",Female,born 1979,1979,"","Tehran, Îran","",1,"",0
10,"Ansdell, Richard",Male,1815–1885,1815,1885,"Liverpool, United Kingdom","London, United Kingdom",1,http://www.tate.org.uk/art/images/work/N/N04/N04798_8.jpg,1
12475,"Anselmo, Giovanni",Male,born 1934,1934,"","Piemonte, Italia","",2,http://www.tate.org.uk/art/images/work/T/T12/T12953_8.jpg,1
11604,"Antin, Eleanor",Female,born 1935,1935,"","New York, United States","",0,http://www.tate.org.uk/art/images/work/T/T12/T12953_8.jpg,0
653,"Anuszkiewicz, Richard",Male,born 1930,1930,"","Erie, United States","",1,http://www.tate.org.uk/art/images/work/P/P01/P01787_8.jpg,1
10241,"Apóstol, Alexander",Male,born 1969,1969,"","Barquisimeto, Venezuela","",1,"",0
655,"Appelbee, Leonard",Male,1914–2000,1914,2000,"Fulham, United Kingdom","",4,"",1
656,"Appleyard, Fred",Male,1874–1963,1874,1963,"Middlesbrough, United Kingdom","Hampshire, United Kingdom",1,http://www.tate.org.uk/art/images/work/N/N03/N03029_8.jpg,1
657,"Arakawa, Shusaku","",1936–2010,1936,2010,"Nagoya, Nihon","New York, United States",1,"",0
2752,"Araki, Nobuyoshi",Male,born 1940,1940,"","Tokyo, Nihon","",2,"",0
10494,"Araujo, Juan",Male,born 1971,1971,"","Caracas, Venezuela","",1,http://www.tate.org.uk/art/images/work/T/T13/T13347_8.jpg,1
5271,"Arbus, Diane",Female,1923–1971,1923,1971,"New York, United States","New York, United States",69,"",0
12604,"Arcangel, Cory",Male,born 1978,1978,"","Buffalo, United States","",0,"",0
659,"Ardizzone, Edward",Male,1900–1979,1900,1979,"Hai Phìng, Viet Nam","Kent, United Kingdom",16,http://www.tate.org.uk/art/images/work/A/A01/A01029_8.jpg,16
660,"Ardon, Mordecai",Male,1896–1992,1896,1992,"Tuchów, Polska","Yerushalayim, Mehoz, Yisra'el",1,http://www.tate.org.uk/art/images/work/T/T00/T00608_8.jpg,1
662,Arman,Male,1928–2005,1928,2005,"Nice, France","",2,http://www.tate.org.uk/art/images/work/T/T03/T03380_8.jpg,2
663,"Armfield, Maxwell Ashby",Male,1881–1972,1881,1972,"Ringwood, United Kingdom","",2,"",0
664,"Armitage, Kenneth",Male,1916–2002,1916,2002,"Leeds, United Kingdom","",14,http://www.tate.org.uk/art/images/work/P/P01/P01802_8.jpg,9
12,"Armstead, Henry Hugh",Male,1828–1905,1828,1905,"London, United Kingdom","",2,http://www.tate.org.uk/art/images/work/N/N01/N01929_8.jpg,2
665,"Armstrong, John",Male,1893–1973,1893,1973,"Hastings, United Kingdom","",4,http://www.tate.org.uk/art/images/work/N/N04/N04934_8.jpg,4
666,"Arnatt, Keith",Male,1930–2008,1930,2008,"Oxford, United Kingdom","",133,"",126
667,"Arp, Jean",Male,1886–1966,1886,1966,"Strasburg, Deutschland","Basel, Schweiz",9,http://www.tate.org.uk/art/images/work/N/N06/N06025_8.jpg,9
16245,Art & Language (Harold Hurrell),Male,born 1940,1940,"","","",1,"",0
16236,Art & Language (Ian Burn),Male,1939–1993,1939,1993,"Geelong, Australia","",1,"",0
2202,"Art & Language (Michael Baldwin, born 1945; Mel Ramsden, born 1944)","","",1944,"","","",8,http://www.tate.org.uk/art/images/work/P/P08/P08005_8.jpg,7
17138,"Art & Language (Terry Atkinson, born 1939; David Bainbridge, born 1941; Michael Baldwin, born 1945; Harold Hurrell, born","",established 1967/1968,1967,"","","",1,"",0
668,"Art & Language (Terry Atkinson, born 1939; Michael Baldwin, born 1945)","","",1939,"","","",12,http://www.tate.org.uk/art/images/work/P/P01/P01356_8.jpg,2
669,"Artschwager, Richard",Male,1923 – 2013,1923,2013,"Washington, United States","",6,http://www.tate.org.uk/art/images/work/P/P77/P77154_8.jpg,6
670,"Askew, Victor",Male,1909–1974,1909,1974,"Rotherham, United Kingdom","Hertfordshire, United Kingdom",1,"",0
5229,"Ataman, Kutlug",Male,born 1961,1961,"","Istanbul, Türkiye","",1,"",0
6630,"Atay, Fikret",Male,born 1974,1974,"","Batman, Türkiye","",2,http://www.tate.org.uk/art/images/work/T/T11/T11808_8.jpg,1
15601,"Atkins, Ed",Male,born 1982,1982,"",United Kingdom,"",1,"",0
671,"Atkinson, Conrad",Male,born 1940,1940,"","Cumbria, United Kingdom","",10,http://www.tate.org.uk/art/images/work/P/P02/P02949_8.jpg,10
672,"Atkinson, Lawrence",Male,1873–1931,1873,1931,"","",1,http://www.tate.org.uk/art/images/work/T/T00/T00717_8.jpg,1
11829,"Atkinson, Terry",Male,born 1939,1939,"","Barnsley, United Kingdom","",1,"",0
673,"Atlan, Jean-Michel",Male,1913–1960,1913,1960,"Qacentina, Al-Jaza'ir","Paris, France",1,"",0
7639,Atlas Group,"",established 1999,1999,"","","",1,http://www.tate.org.uk/art/images/work/T/T11/T11912_8.jpg,1
15557,"Atlas, Charles",Male,born 1958,1958,"","Saint Louis City, United States","",1,"",0
13674,"Attia, Kader",Male,born 1970,1970,"","Dugny, France","",3,"",0
675,"Auerbach, Arnold",Male,1898–1978,1898,1978,"Liverpool, United Kingdom","",2,http://www.tate.org.uk/art/images/work/T/T04/T04111_8.jpg,1
676,"Auerbach, Frank",Male,born 1931,1931,"","Berlin, Deutschland","",76,"",43
14648,"Augustyniak, Mathias",Male,born 1968,1968,"","Cavaillon, France","",0,"",0
15,"Aumonier, James",Male,1832–1911,1832,1911,"","",2,http://www.tate.org.uk/art/images/work/N/N01/N01619_8.jpg,2
677,"Austin, Robert",Male,1895–1973,1895,1973,"Leicester, United Kingdom","",4,http://www.tate.org.uk/art/images/work/N/N04/N04179_8.jpg,4
10764,"Avery, Charles",Male,born 1973,1973,"","Oban, United Kingdom","",1,"",0
678,"Avery, Milton",Male,1893–1965,1893,1965,"Altmar, United States","New York, United States",2,http://www.tate.org.uk/art/images/work/P/P77/P77109_8.jpg,2
2714,"Aviline, François Antoine",Male,1727–1780,1727,1780,"","",0,http://www.tate.org.uk/art/images/work/P/P77/P77109_8.jpg,0
2479,"Aylesford, Heneage Finch, Fifth Earl of",Male,1786–1859,1786,1859,"","",1,http://www.tate.org.uk/art/images/work/T/T08/T08732_8.jpg,1
679,"Ayot, Pierre",Male,born 1943,1943,"","Québec, Canada","Québec, Canada",1,http://www.tate.org.uk/art/images/work/P/P03/P03166_8.jpg,1
681,"Ayrton, Michael",Male,1921–1975,1921,1975,"London, United Kingdom","",11,http://www.tate.org.uk/art/images/work/P/P06/P06016_8.jpg,10
14743,"Baalbaki, Ayman",Male,born 1975,1975,"","Marj ‘Uyun, Al-Lubnan","",1,"",0
13866,"Bäckström, Miriam",Female,born 1967,1967,"","Stockholm, Sverige","",0,"",0
425,"Pickersgill, Henry William",Male,1782–1875,1782,1875,"London, United Kingdom","London, United Kingdom",3,http://www.tate.org.uk/art/images/work/N/N00/N00416_8.jpg,3
1771,"Pignon, Edouard",Male,1905–1993,1905,1993,"Bully-les-Mines, France","",2,http://www.tate.org.uk/art/images/work/N/N06/N06037_8.jpg,1
11779,"Pillsbury, Matthew",Male,born 1973,1973,"",France,"",1,http://www.tate.org.uk/art/images/work/P/P20/P20338_8.jpg,1
449,"Ridley, Matthew White",Male,1837–1888,1837,1888,"Newcastle upon Tyne, United Kingdom","Chiswick, United Kingdom",1,http://www.tate.org.uk/art/images/work/N/N03/N03411_8.jpg,1
1845,"Riley, Bridget",Female,born 1931,1931,"","London, United Kingdom","",31,http://www.tate.org.uk/art/images/work/P/P01/P01576_8.jpg,30
451,"Rippingille, Edward Villiers",Male,1798–1859,1798,1859,"King's Lynn, United Kingdom","",1,http://www.tate.org.uk/art/images/work/N/N00/N00455_8.jpg,1
452,"Rivers, Leopold",Male,1850–1905,1850,1905,"London, United Kingdom","London, United Kingdom",1,http://www.tate.org.uk/art/images/work/N/N01/N01710_8.jpg,1
454,"Roberts, David",Male,1796–1864,1796,1864,"Edinburgh, United Kingdom","London, United Kingdom",6,http://www.tate.org.uk/art/images/work/N/N00/N00400_8.jpg,6
1855,"Roberts, William",Male,1895–1980,1895,1980,"London, United Kingdom","London, United Kingdom",142,http://www.tate.org.uk/art/images/work/N/N04/N04148_8.jpg,141
